build_height_mm,residence_time_s
0,5
2,16
4,35
6,54
8,96
10,137
12,197
14,272
16,336
18,425
20,510
22,542
24,621
26,685
28,784
30,870
32,879
34,973
36,1114
38,1090
40,1193
42,1214
44,1275
46,1232
48,1309
50,1299
52,1317
54,1417
56,1384
58,1362
60,1287
62,1119
64,987
66,849
68,710
70,693
72,650
74,472
76,422
78,300
80,65
82,52
84,31
86,7
88,0
90,0
92,0
94,0
96,0
98,0
100,0
102,0
104,0
106,0
108,0
110,0
112,0
114,0
116,0
118,0
120,0
122,0
124,0
126,0
128,0
130,0
