build_height_mm,residence_time_s
0,9
2,18
4,26
6,42
8,46
10,80
12,106
14,131
16,156
18,191
20,224
22,258
24,292
26,316
28,382
30,373
32,377
34,384
36,279
38,309
40,292
42,291
44,281
46,333
48,355
50,328
52,261
54,232
56,277
58,361
60,392
62,504
64,575
66,621
68,663
70,651
72,734
74,775
76,698
78,636
80,664
82,626
84,572
86,646
88,523
90,543
92,426
94,353
96,289
98,243
100,95
102,26
104,12
106,0
108,0
110,0
112,0
114,0
116,0
118,0
120,0
122,0
124,0
126,0
128,0
130,0
