build_height_mm,residence_time_s
0,2
2,6
4,18
6,29
8,46
10,50
12,65
14,84
16,146
18,174
20,192
22,256
24,245
26,286
28,349
30,345
32,333
34,374
36,439
38,458
40,531
42,555
44,551
46,516
48,551
50,610
52,515
54,539
56,573
58,471
60,550
62,624
64,650
66,692
68,585
70,657
72,529
74,609
76,666
78,700
80,534
82,585
84,532
86,561
88,619
90,497
92,454
94,452
96,411
98,195
100,163
102,124
104,27
106,18
108,9
110,4
112,0
114,0
116,0
118,0
120,0
122,0
124,0
126,0
128,0
130,0
