build_height_mm,residence_time_s
0,2
2,6
4,18
6,39
8,52
10,76
12,88
14,121
16,152
18,163
20,181
22,193
24,231
26,271
28,293
30,333
32,369
34,372
36,393
38,424
40,445
42,508
44,564
46,527
48,545
50,477
52,469
54,492
56,492
58,533
60,534
62,531
64,496
66,551
68,559
70,558
72,663
74,690
76,716
78,688
80,623
82,587
84,536
86,552
88,548
90,525
92,475
94,363
96,338
98,282
100,169
102,108
104,45
106,30
108,9
110,0
112,0
114,0
116,0
118,0
120,0
122,0
124,0
126,0
128,0
130,0
