build_height_mm,residence_time_s
0,0
2,1
4,5
6,15
8,17
10,28
12,35
14,39
16,45
18,53
20,61
22,90
24,80
26,113
28,112
30,107
32,127
34,142
36,161
38,172
40,184
42,187
44,195
46,187
48,201
50,215
52,217
54,215
56,175
58,219
60,229
62,231
64,200
66,246
68,236
70,232
72,225
74,228
76,236
78,235
80,233
82,235
84,240
86,240
88,233
90,227
92,218
94,211
96,210
98,223
100,242
102,262
104,283
106,247
108,210
110,176
112,172
114,98
116,59
118,15
120,4
122,0
124,0
126,0
128,0
130,0
