build_height_mm,residence_time_s
0,1
2,4
4,14
6,22
8,40
10,38
12,70
14,96
16,135
18,150
20,195
22,268
24,245
26,325
28,388
30,349
32,386
34,399
36,471
38,446
40,485
42,506
44,421
46,429
48,353
50,320
52,421
54,395
56,485
58,468
60,553
62,558
64,578
66,610
68,591
70,598
72,557
74,569
76,579
78,628
80,593
82,572
84,557
86,541
88,494
90,535
92,568
94,616
96,494
98,499
100,374
102,350
104,327
106,263
108,138
110,51
112,43
114,21
116,3
118,0
120,0
122,0
124,0
126,0
128,0
130,0
