eng_strain,eng_stress_MPa,true_strain,true_stress_MPa,hardening_rate_MPa
NaN,NaN,NaN,NaN,NaN
7.07271507272011e-06,NaN,7.07269006113941e-06,0.583337459083792,NaN
NaN,NaN,NaN,NaN,NaN
2.6419790950527e-06,NaN,2.64197560501947e-06,0.533334742388851,NaN
4.6257279259887e-05,NaN,4.62562094249878e-05,5.15023822498819,NaN
7.03333179787879e-05,13.7666666666667,7.03308447068613e-05,13.7676349220108,NaN
0.00017954977766732,22.2666666666667,0.00017953366053528,22.2706646417161,NaN
0.000247445766588639,30.4,0.000247415156934307,30.4075223513043,NaN
0.000324211837271715,38.2166666666667,0.000324159291970803,38.2290569623811,NaN
0.000377967269542312,45.8833333333333,0.000377895857907542,45.9006757315508,NaN
0.000450303481977388,52.95,0.000450202125790754,52.9738435693707,NaN
0.000518571553124403,60.55,0.00051843714136253,60.5813995075417,NaN
0.000587027124262951,66.7166666666667,0.000586854891240876,66.7558311596404,NaN
0.000657103604370102,73.6833333333333,0.000656887806326034,73.7317509172487,NaN
0.000737375582550603,81.1833333333333,0.000737103854744526,81.2431959410434,NaN
0.000735308341522911,87.1333333333334,0.000735038134793187,87.197403200158,NaN
0.00082162267950503,93.9833333333333,0.000821285332360097,94.0605521714955,NaN
0.000894043065899908,100.366666666667,0.000893643647445255,100.456398789047,NaN
0.000920210548276623,106.266666666667,0.000919787414111922,106.364454374264,NaN
0.000957263581431667,112.383333333333,0.000956805696836983,112.490913805493,NaN
0.00103142136390044,118.55,0.00103088981435523,118.67227500269,NaN
0.00107248554360018,123.816666666667,0.00107191084184915,123.949458251723,NaN
0.00114651277157596,129.283333333333,0.00114585602773723,129.431558326152,NaN
0.00120981320435587,134.983333333333,0.00120908197007299,135.146637952368,NaN
0.00124800790529189,139.4,0.00124722979075426,139.573972301998,NaN
0.00131321536959872,145.233333333333,0.00131235385644769,145.424055978845,NaN
0.00139136837235854,150.183333333333,0.0013904013163017,150.392293673389,NaN
0.00142653337395293,155.5,0.00142551684184915,155.72182593965,NaN
0.00145330505492924,160.65,0.00145225002919708,160.883473457074,NaN
0.001512030785084,165.716666666667,0.00151088881751825,165.967235368268,NaN
0.00155410042761739,170.5,0.00155289406326034,170.764974122909,NaN
0.00161676307754677,175.166666666667,0.00161545752311435,175.44986966575,NaN
0.00165892035465021,180.216666666667,0.00165754586618005,180.515631763247,NaN
0.00171843729847354,184.75,0.00171696247445256,185.067481290893,NaN
0.00175690829772268,189.466666666667,0.00175536673965937,189.799542225475,NaN
0.00181695164532059,193.666666666667,0.00181530298540146,194.01854963531,NaN
0.00185714143290161,198.2,0.00185541907785888,198.568085432001,NaN
0.00191555010268463,202.766666666667,0.00191371777615572,203.155076375821,NaN
0.001966347431263,207.066666666667,0.00196441670072993,207.473831674767,NaN
0.00202283075364651,211.383333333333,0.0020207875863747,211.810926040808,NaN
