eng_strain,eng_stress_MPa,true_strain,true_stress_MPa,hardening_rate_MPa
NaN,NaN,NaN,NaN,NaN
1.1702326945251e-06,NaN,1.17023200978702e-06,2.39413619099893,NaN
4.90978505918171e-06,NaN,4.90977300626775e-06,2.39414514398611,NaN
1.87345647690851e-05,NaN,1.87343892793864e-05,2.3449827990168,NaN
2.218353689587e-05,NaN,2.21832908449391e-05,2.29579527363904,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
2.63907829989307e-06,NaN,2.63907481744422e-06,3.29604165225931,NaN
6.04613764854101e-06,NaN,6.04611937079108e-06,3.55842525075874,NaN
1.07694068072206e-05,NaN,1.0769348817467e-05,4.01759587200025,NaN
1.44697464492527e-05,NaN,1.44696417635634e-05,4.23079008360747,NaN
1.42138287868576e-05,NaN,1.42137277713489e-05,4.4439682916317,NaN
1.79510720510478e-05,NaN,1.79509109324037e-05,4.90314201098257,NaN
1.84952563493379e-05,NaN,1.84950853142241e-05,5.69027158416122,NaN
1.39220174910637e-05,NaN,1.39219205807049e-05,6.21499443191198,NaN
2.4516629389737e-05,NaN,2.45163288620943e-05,7.10058337652381,NaN
3.28431830505238e-05,NaN,3.28426437250254e-05,8.26495108366115,NaN
3.16259899943994e-05,NaN,3.16254899032125e-05,9.36365342197563,NaN
4.37415721137313e-05,10.2488586870966,4.37406154790314e-05,10.2493069882879,NaN
4.09299168551147e-05,11.1343600776618,4.09290792490112e-05,11.134815806094,NaN
4.64338691981148e-05,11.8230833814346,4.6432791179389e-05,11.8236323729419,NaN
5.05201840927949e-05,12.6593902503017,5.05189079913033e-05,12.6600298050277,NaN
4.36868263733459e-05,13.3809099018733,4.36858721317901e-05,13.3814944713609,NaN
5.41273695744415e-05,14.3320039880359,5.41259047412778e-05,14.3327797417125,NaN
6.70708547798604e-05,15.217505378601,6.70686056305781e-05,15.2185260296944,NaN
9.38738474027812e-05,16.0538122474681,9.38694415289807e-05,16.0553192805893,NaN
9.73290650478909e-05,17.0541008553288,9.73243288816683e-05,17.0557607150202,NaN
9.17187102249528e-05,18.3495565933778,9.17145043213235e-05,18.3512395910417,NaN
9.68340635452147e-05,19.8253922443197,9.68293754298429e-05,19.8273120176121,NaN
0.000117399514843353,22.0719420685312,0.000117392624059584,22.0745333038217,NaN
0.000139102699872273,24.7940389358241,0.000139093025988844,24.7974878535808,NaN
0.000167193306049418,28.7132024977698,0.000167179330806288,28.7180031530227,NaN
0.000192500198808121,32.2224117122317,0.000192481673022312,32.2286145328924,NaN
0.00023967194720953,37.551818229522,0.000239643230476674,37.5608183469183,NaN
0.000262872765579791,41.5857690087632,0.000262838220588235,41.5967007748713,NaN
0.00030449681856104,47.1775463084431,0.000304450468813388,47.1919117212015,NaN
0.000329814525181327,51.7198404785643,0.000329760148326572,51.7368984331942,NaN
0.000370064128240699,57.0656451697539,0.000369995671399594,57.0867631179861,NaN
0.000407387090675781,61.8211156005667,0.000407304131085193,61.8463007249936,NaN
0.000421607734174545,67.7900508999318,0.000421518882606491,67.8186317096913,NaN
0.000461553412272053,72.5947158524427,0.000461446929259635,72.6282221912573,NaN
0.000497046392320177,78.7112347169019,0.000496922905679513,78.750357852153,NaN
0.000526498504801687,83.4831033216141,0.000526359953093306,83.5270570506891,NaN
0.00057663634729388,89.812798446765,0.000576470156440162,89.8645877708016,NaN
0.000620313708531217,95.0930104423571,0.000620121393509128,95.15199794032,NaN
0.000659459375421445,101.570289132602,0.000659242027636917,101.637270612035,NaN
0.00070079489035213,107.129270084483,0.000700549448275862,107.204345729566,NaN
0.000743660298946569,113.55735425303,0.000743383920638945,113.641802349042,NaN
0.000778751182705539,119.099937031012,0.000778448113336714,119.192686247835,NaN
0.000830982145756831,125.593613895157,0.000830637071247465,125.697979945925,NaN
0.00083779541543616,130.972214934145,0.000837444660750507,131.081942855366,NaN
0.000905917525391597,137.875846145773,0.000905507429766734,138.000750291125,NaN
0.000925599007532973,143.057669097969,0.000925170904918864,143.190083134506,NaN
0.000967333301663098,150.010494831296,0.000966865736308316,150.155604978545,NaN
0.00104900435126809,155.093928740096,0.00104845453067951,155.256622946199,NaN
0.00105348729225785,162.145143516818,0.00105293276394523,162.315961365014,NaN
0.00107953799103599,167.589337251404,0.00107895570892495,167.770256307859,NaN
0.00114251717807856,174.27979220234,0.0011418650020284,174.478909858723,NaN
0.00122229043673605,180.199532980007,0.00122154404792089,180.419789145873,NaN
0.00123512855655528,186.676811670252,0.0012343664127789,186.907381531193,NaN
0.00127756902519316,192.284987143832,0.00127675362829615,192.530644487416,NaN
0.00124732844356124,199.18861835546,0.00124655117570994,199.437071984768,NaN
0.00133041722793137,204.419635829354,0.00132953300709939,204.691599234589,NaN
0.00136929349862513,211.274072519284,0.00136835687119675,211.563368733213,NaN
0.00139389706356985,216.554284514876,0.00139292649087221,216.856138896165,NaN
0.00146488973897263,222.982368683423,0.0014638178346856,223.30901326728,NaN
0.00147086978959865,228.574145983103,0.00146978912018256,228.910348789113,NaN
0.00152953715856263,234.903841108254,0.00152836860801217,235.263135261918,NaN
0.00154779914454983,240.462822060135,0.00154660253803245,240.835010210416,NaN
0.00159452664213067,246.890906228682,0.00159325673427992,247.284580356364,NaN
0.00164174390130434,252.220312745973,0.00164039771298175,252.634393906208,NaN
0.001683234834013,258.713989610117,0.00168181978194726,259.149466009475,NaN
0.00171240389608052,263.321876475836,0.00171093940415822,263.772789883036,NaN
0.0017541560579073,270.110720470168,0.00175261932302231,270.584536826787,NaN
0.00179963776280023,276.292832030225,0.00179802035496957,276.790059044338,NaN
0.00184141807320359,280.949913417642,0.00183972474137931,281.467259665874,NaN
0.00186685938175457,285.967754630844,0.00186511896551724,286.501616216456,NaN
0.00190201932476119,291.92029175631,0.00190021277636917,292.47552979252,NaN
0.00193023190344355,296.888938447814,0.00192837139959432,297.462002948586,NaN
0.00199575895465331,302.907068268878,0.00199377007352941,303.511597762803,NaN
0.00203932645637006,308.613632785853,0.00203724985294118,309.24299673199,NaN
0.0020440183208692,313.483890433961,0.00204193215770791,314.124657249306,NaN
0.00210568095861086,319.485622081125,0.00210346711967546,320.158356872091,NaN
0.00215266375213186,323.781943642756,0.00215035009127789,324.47893729643,NaN
0.00218330927161281,330.062444246209,0.00218092931541582,330.783072640943,NaN
0.00221032729082515,334.243978590544,0.00220788811105477,334.982767178217,NaN
0.00226503777126963,340.147321194312,0.00226247644016227,340.917767724613,NaN
0.00230224362005504,344.394448234245,0.00229959751774848,345.187328155474,NaN
0.00237089964957371,350.297790838012,0.0023680935015213,351.128311747557,NaN
0.00240079894633638,354.643306921341,0.00239792163286004,355.494734198923,NaN
0.00244142074015685,360.087500655927,0.00243844531440162,360.9666257483,NaN
0.00248106052309138,364.744582043344,0.00247798777383367,365.649535426863,NaN
0.00253344015685042,369.92640499554,0.00253023640720081,370.863591405035,NaN
0.00258617211830248,374.107939339875,0.00258283372971602,375.075446861832,NaN
0.00261490347210058,379.650522117857,0.00261149056034483,380.643271586328,NaN
0.0026642671558943,383.569685679803,0.00266072428752535,384.591617795356,NaN
0.00273602557742936,388.751508631999,0.00273228947261663,389.81514270288,NaN
0.00276095877376559,392.457495933253,0.00275715432809331,393.54105489998,NaN
0.00285255800091044,397.229364537965,0.00284849717799188,398.362484339974,NaN
0.00291180379971889,400.984546360917,0.00290757271044625,402.152134686639,NaN
0.00299243757728918,405.379256965944,0.00298796914807302,406.592329087543,NaN
0.00304493735304145,408.626095398016,0.00304031092038539,409.870336259321,NaN
0.00316048511792189,412.660046177258,0.00315550128296146,413.964252111962,NaN
0.00325659797002475,415.529726609645,0.00325130673935091,416.882939873807,NaN
0.00338524796587913,419.252112084798,0.0033795309127789,420.671384444424,NaN
0.00349904436547521,421.383874691714,0.00349293695233266,422.858315564157,NaN
0.00364365653878784,424.679907645485,0.00363703450304259,426.227295367869,NaN
0.00382667725486208,426.8280684263,0.00381937415060852,428.461401687484,NaN
0.00395527562004316,429.550165293593,0.0039474740821501,431.249154589964,NaN
0.00411075429180929,431.534344335415,0.00410232822515213,433.308275993455,NaN
0.00427767738137508,433.780894159626,0.00426855412778905,435.636468879046,NaN
0.00445729788685978,435.453507897361,0.00444739355476673,437.394453897937,NaN
0.00466736180791205,437.339297895786,0.00465650344827586,439.380518631884,NaN
0.00483314630767184,438.913522590124,0.00482150415314402,441.034855861218,NaN
0.00502951197557366,440.79931258855,0.00501690622971603,443.016318010039,NaN
0.00519004217093166,441.783203022511,0.00517662032200812,444.076076476608,NaN
0.00542810080320644,443.357427716849,0.00541342175963489,445.764016526347,NaN
0.0056215015944816,444.456105368106,0.00560575992139959,446.95461607311,NaN
0.00585866940367885,445.767959280055,0.00584157413793103,448.379566384229,NaN
0.00604539634412493,447.227396757097,0.00602719625,449.931063626445,NaN
0.00628363380588204,448.014509104266,0.00626397409229209,450.829668219199,NaN
0.00645547979965544,449.424752059611,0.00643473243154158,452.326004467997,NaN
0.00673140961248997,450.310253450176,0.0067088548351927,453.341476218853,4848.6824910343
0.00693189371358383,451.523718318728,0.00690797859279919,454.653632743276,4673.92130012703
0.0071600680614532,452.671590491683,0.00713455647819473,455.91274988909,4522.51346929935
0.00733644768396591,453.24552657816,0.00730966685598377,456.570738671892,4378.61139744835
0.00757866232174398,454.245815186021,0.00755008853701826,457.688390830381,4256.77397493778
0.00779984030034542,454.918140315894,0.00776957880070994,458.466429160089,4135.89482827556
0.00805506495404718,456.180799706145,0.00802279608772819,459.855365678567,4035.06316303294
0.00826279317637169,456.902319357716,0.00822884318711968,460.677608724374,3935.52096902607
0.0085025599650641,457.689431704885,0.00846661679766734,461.580963543332,3851.4307996456
0.00871242549269469,458.689720312746,0.00867469132606491,462.686020325236,3769.99294404876
0.00896841379313051,459.312850920921,0.0089284364148073,463.432158628483,3696.24658190972
0.00919001813427367,460.050768746392,0.00914804686612576,464.278643653858,3626.59061425353
0.00941511040615839,461.034659180354,0.0093710645030426,465.375351397602,3566.06510384826
0.00962060215997895,461.559400745133,0.00957461885649087,465.9998801129,3504.71088318663
0.00988950650915243,462.395707614,0.00984092537271805,466.968572974253,3453.72666811181
0.0101210211439284,463.232014482867,0.0100701465897566,467.920395495993,3401.12324366447
0.0103654120095786,463.65836700425,0.0103120594903651,468.464377009938,3347.22930918954
0.0105738270017945,464.445479351419,0.0105183150659229,469.356445501847,3305.69339279736
0.0108350398068893,465.117804481293,0.0107767613514199,470.157374407741,3262.14478134829
0.0110158317581857,466.068898567456,0.0109555994193712,471.203035141798,3223.98392443003
0.011282405149476,466.478852914939,0.0112192335243408,471.741856327189,3183.48968368144
0.0114943366787461,467.167576218712,0.0114287786764706,472.537357625164,3148.28488894094
0.0117438732674011,467.938290391982,0.0116754491759635,473.43369837131,3114.75327921289
0.0119839154006869,468.200661174372,0.0119126768661257,473.811538288431,3080.63915586402
0.0122467761817742,469.364931521226,0.0121723911206897,475.11313878514,3052.17501295343
0.0124505987054433,469.610904129716,0.0123737274061866,475.457841044736,3016.19886988472
0.0126964088888537,470.250432911791,0.0126164852738337,476.2209246882,2991.40522765401
0.0129083669032481,470.709581780973,0.0128257640212982,476.785673767476,2964.32160152886
0.0131612423065732,471.398305084746,0.0130753856566937,477.602492400874,2935.97925113157
0.013372577733276,472.136222910217,0.0132839540263692,478.449901251779,2911.64365084908
0.0136524164288081,472.759353518392,0.0135600618179513,479.213661083239,2887.85817428592
0.0138599735217473,473.497271343863,0.013764802459432,480.059930987309,2866.03454590911
0.0141264339939962,474.169596473737,0.0140275857530426,480.867921980283,2843.21688075499
0.0143247094223309,474.33357821273,0.0142230801622718,481.128268889882,2822.59445560905
0.0145720167590284,474.907514299208,0.0144668652053753,481.827874556564,2800.4912354523
0.0147824218241204,475.481450385685,0.0146742267799189,482.510217754831,2781.13001984669
0.015044960491438,475.842210211471,0.0149329075633874,483.001237464261,2759.49357514586
0.0152570041674043,476.580128036942,0.0151417865187627,483.851313036503,2741.260077177
0.0155537144626126,477.039276906124,0.0154339952358012,484.459009606573,2719.35111888398
0.0157584786548539,477.678805688199,0.0156356030375254,485.206296951512,2704.82587991273
0.0159983794677916,478.137954557381,0.015871754143002,485.787386992343,2684.14822902318
0.0162024725948664,478.613501600462,0.016072613351927,486.368223743676,2668.11575536613
0.0164638105828108,479.302224904235,0.0163297514680527,487.193365946978,2651.98743934321
0.016672683065807,479.761373773417,0.0165352197033469,487.760283105557,2632.72851684693
0.0169415978965741,480.1877262948,0.0167996895537525,488.322873668557,2621.46535556
0.0171595000139884,480.974838641969,0.0170139386080122,489.228126392374,2604.14775608664
0.0174149916167348,481.384792989453,0.0172650885218053,489.768105123788,2588.95946134877
0.0176178267348095,481.433987511151,0.0174644318610548,489.915808087371,2572.56221007618
0.0178806838320515,482.171905336622,0.0177227048073022,490.793468728644,2558.54556377946
0.0180952991104852,482.860628640395,0.0179335278042596,491.598136144319,2545.02884160752
0.018351822987501,483.368972031275,0.0181854605704868,492.239673843643,2530.19956891611
0.0185607784213184,483.696935509262,0.0183906293483773,492.67472715232,2519.05992047845
0.0188281711234615,484.418455160833,0.018653115020284,493.539168729964,2507.53877346388
0.019042764401465,484.680825943223,0.018863720387931,493.910488721567,2494.96438425663
